permno,secid,sp_beg,sp_end,lnk_beg,lnk_end
11404.0,103355.0,1925-12-31,2020-12-31,1996-01-01,2030-12-31
11415.0,102025.0,2006-02-27,2008-12-22,1996-01-02,2008-12-22
11552.0,102822.0,2006-11-06,2019-11-20,1996-01-02,2030-12-31
11600.0,103784.0,2008-11-14,2020-12-31,1996-01-02,2030-12-31
11607.0,103675.0,1957-03-01,2006-03-02,1996-01-02,2006-03-03
11618.0,104618.0,2008-09-15,2020-12-31,1996-01-02,2030-12-31
11674.0,103654.0,1925-12-31,2020-12-31,1996-01-01,2030-12-31
11703.0,103969.0,1957-03-01,2017-08-31,1996-01-02,2017-08-31
11754.0,104118.0,1925-12-31,2010-12-17,1996-01-02,2012-01-18
11762.0,104124.0,1957-03-01,2020-12-31,1996-01-02,2030-12-31
11786.0,110169.0,2018-03-19,2020-12-31,1996-01-02,2030-12-31
11850.0,104533.0,1925-12-31,2020-12-31,1996-01-01,2030-12-31
11891.0,107110.0,2017-07-26,2020-12-31,1996-01-01,2030-12-31
11896.0,107289.0,2000-05-10,2007-09-26,1996-01-02,2030-12-31
11896.0,107289.0,2018-12-03,2020-12-31,1996-01-02,2030-12-31
11955.0,111893.0,1998-07-17,2020-12-31,1996-01-01,2030-12-31
11970.0,101426.0,2000-06-01,2007-02-14,1996-01-02,2007-02-14
11976.0,101903.0,1998-10-01,2013-09-10,1996-01-01,2013-09-10
11983.0,102157.0,2000-01-31,2003-11-12,1996-01-02,2003-11-12
11997.0,103199.0,1993-12-13,2002-11-18,1996-01-02,2002-11-18
12052.0,105168.0,1957-03-01,2020-12-31,1996-01-02,2030-12-31
12060.0,105169.0,1957-03-01,2020-12-31,1996-01-02,2030-12-31
12062.0,106790.0,2004-11-01,2020-12-31,1996-01-01,2030-12-31
12067.0,108266.0,2000-06-19,2012-06-04,1996-01-02,2012-06-04
12073.0,108871.0,2008-11-13,2020-12-31,1996-01-02,2030-12-31
12076.0,110158.0,2015-07-29,2018-03-16,1996-01-01,2030-12-31
12079.0,105175.0,1925-12-31,2009-06-02,1996-01-02,2009-06-01
12095.0,9555.0,1957-03-01,1998-10-06,1996-01-01,1998-10-06
12140.0,105338.0,1957-03-01,2012-07-30,1996-01-02,2012-07-26
12308.0,139906.0,2016-09-08,2020-12-31,2010-09-14,2030-12-31
12319.0,105776.0,1957-03-01,2001-12-14,1996-01-02,2001-12-14
12345.0,144460.0,2012-09-05,2020-12-31,2010-10-14,2030-12-31
12369.0,144671.0,2013-06-07,2020-12-31,2010-11-18,2030-12-31
12431.0,106119.0,1957-03-01,2009-06-30,1996-01-02,2030-12-31
12431.0,106119.0,2010-11-17,2020-12-31,1996-01-02,2030-12-31
12448.0,145665.0,2019-01-02,2020-12-31,2010-12-09,2030-12-31
12449.0,145682.0,2018-06-20,2020-12-31,2010-12-15,2030-12-31
12456.0,145727.0,2011-01-04,2012-05-24,2011-01-04,2012-05-21
12458.0,109753.0,1957-03-01,1998-06-30,1996-01-01,2007-10-18
12490.0,106276.0,1957-03-01,2020-12-31,1996-01-02,2030-12-31
12503.0,107975.0,1925-12-31,2006-12-19,1996-01-02,2030-12-31
12511.0,5496.0,1975-02-06,2000-10-17,1996-01-01,2000-10-17
12542.0,145873.0,2013-07-09,2020-12-31,2011-01-26,2030-12-31
12546.0,106045.0,1925-12-31,2002-07-19,1996-01-02,2006-11-16
12558.0,146036.0,2012-05-25,2020-12-31,2011-02-11,2030-12-31
